round_num,merge_method,num_clients,num_trees,max_depth,criterion,global_accuracy,global_recall,global_roc_auc,global_precision,global_f1_macro
1,diversity,10,30,,gini,0.5801606706252183,0.3620969760299507,0.7659040646326579,0.35184565209807295,0.29684219799777567
2,diversity,10,30,,gini,0.5913571622618078,0.36444319168400713,0.7889857289063011,0.36055229885789275,0.3058858458336723
3,diversity,10,30,,gini,0.5913571622618078,0.36444319168400713,0.7889857289063011,0.36055229885789275,0.3058858458336723
4,diversity,10,30,,gini,0.7174292699965071,0.4365342917383311,0.8058450271789553,0.40400133293932966,0.40929975894133375
5,diversity,10,30,,gini,0.7308961074242248,0.43753437419976937,0.8252125809109337,0.4070754214483787,0.4082916246583125
6,diversity,10,30,,gini,0.7628167811541895,0.43680187166906503,0.8422330062353127,0.42418630035258004,0.4192921949436791
7,diversity,10,30,,gini,0.7628167811541895,0.43680187166906503,0.8422330062353127,0.42418630035258004,0.4192921949436791
8,diversity,10,30,,gini,0.7628167811541895,0.43680187166906503,0.8422330062353127,0.42418630035258004,0.4192921949436791
9,diversity,10,30,,gini,0.7628167811541895,0.43680187166906503,0.8422330062353127,0.42418630035258004,0.4192921949436791
10,diversity,10,30,,gini,0.7628167811541895,0.43680187166906503,0.8422330062353127,0.42418630035258004,0.4192921949436791
11,diversity,10,30,,gini,0.7628167811541895,0.43680187166906503,0.8422330062353127,0.42418630035258004,0.4192921949436791
12,diversity,10,30,,gini,0.7563744324135522,0.4056385951179086,0.8548690380937334,0.4474020554967811,0.3959766847682184
13,diversity,10,30,,gini,0.7563744324135522,0.4056385951179086,0.8548690380937334,0.4474020554967811,0.3959766847682184
14,diversity,10,30,,gini,0.7571118096790468,0.4090725515192729,0.8610578884220994,0.4670601886749816,0.39954337957847513
15,diversity,10,30,,gini,0.7609927426553343,0.41332806994616017,0.8655800622767098,0.46971115915992634,0.40475293671784607
16,diversity,10,30,,gini,0.7609927426553343,0.41332806994616017,0.8655800622767098,0.46971115915992634,0.40475293671784607
17,diversity,10,30,,gini,0.7609927426553343,0.41332806994616017,0.8655800622767098,0.46971115915992634,0.40475293671784607
18,diversity,10,30,,gini,0.7609927426553343,0.41332806994616017,0.8655800622767098,0.46971115915992634,0.40475293671784607
19,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
20,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
21,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
22,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
23,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
24,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
25,diversity,10,30,,gini,0.7777195637831334,0.3898043021651259,0.8648423580866057,0.4184310769920726,0.38082922669958674
26,diversity,10,30,,gini,0.7756044553110568,0.38772261693428434,0.8643452836562588,0.4203217837895334,0.38001853493661375
27,diversity,10,30,,gini,0.7756044553110568,0.38772261693428434,0.8643452836562588,0.4203217837895334,0.38001853493661375
28,diversity,10,30,,gini,0.7756044553110568,0.38772261693428434,0.8643452836562588,0.4203217837895334,0.38001853493661375
29,diversity,10,30,,gini,0.7756044553110568,0.38772261693428434,0.8643452836562588,0.4203217837895334,0.38001853493661375
30,diversity,10,30,,gini,0.7756044553110568,0.38772261693428434,0.8643452836562588,0.4203217837895334,0.38001853493661375
31,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
32,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
33,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
34,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
35,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
36,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
37,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
38,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
39,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
40,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
41,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
42,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
43,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
44,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
45,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
46,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
47,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
48,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
49,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
50,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
51,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
52,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
53,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
54,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
55,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
56,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
57,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
58,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
59,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
60,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
61,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
62,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
63,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
64,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
65,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
66,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
67,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
68,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
69,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
70,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
71,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
72,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
73,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
74,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
75,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
76,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
77,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
78,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
79,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
80,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
81,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
82,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
83,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
84,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
85,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
86,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
87,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
88,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
89,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
90,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
91,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
92,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
93,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
94,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
95,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
96,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
97,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
98,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
99,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
100,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
